benchmark,size_label,size,type,line,end,name,function,share,seconds,hotness,excluded,in_main,in_timed_region
burkardt/md,verify,STANDARD,loop,410,413,,initialize,2.410925602033018e-06,4.6e-05,MAYBE,True,False,False
burkardt/md,verify,STANDARD,loop,415,421,,initialize,4.559794073410273e-06,8.7e-05,MAYBE,True,False,False
burkardt/md,verify,STANDARD,loop,417,420,,initialize,2.935039863344544e-06,5.6e-05,MAYBE,True,False,False
burkardt/md,verify,STANDARD,function,394,424,initialize,initialize,3.0136570025412727e-05,0.000575,MAYBE,True,False,False
burkardt/md,verify,STANDARD,loop,259,301,,compute,0.9997226911443401,19.074518,YES,False,False,False
burkardt/md,verify,STANDARD,loop,264,267,,compute,9.365921849636964e-05,0.001787,MAYBE,False,False,False
burkardt/md,verify,STANDARD,loop,269,293,,compute,0.9992160822993562,19.064852,YES,False,False,False
burkardt/md,verify,STANDARD,loop,288,291,,compute,0.17902328057896175,3.41573,MAYBE,False,False,False
burkardt/md,verify,STANDARD,loop,297,300,,compute,0.00013978127349178392,0.002667,MAYBE,False,False,False
burkardt/md,verify,STANDARD,function,239,309,compute,compute,0.9997230056128968,19.074524,YES,False,False,False
burkardt/md,verify,STANDARD,function,29,33,pb_emit,pb_emit,7.337599658361359e-06,0.00014,MAYBE,True,False,False
burkardt/md,verify,STANDARD,function,63,63,pb_timer_start,pb_timer_start,5.2411426131152565e-08,1e-06,MAYBE,True,False,False
burkardt/md,verify,STANDARD,loop,555,563,,update,0.0002309771549599894,0.004407,MAYBE,False,False,False
burkardt/md,verify,STANDARD,loop,557,562,,update,0.00015057802727480132,0.002873,MAYBE,False,False,False
burkardt/md,verify,STANDARD,function,542,566,update,update,0.00023113438923838282,0.00441,MAYBE,False,False,False
burkardt/md,verify,STANDARD,function,65,70,pb_timer_stop,pb_timer_stop,1.677165636196882e-06,3.2e-05,MAYBE,True,False,False
burkardt/md,verify,STANDARD,function,35,39,pb_report,pb_report,2.0964570452461026e-07,4e-06,MAYBE,True,False,False
burkardt/md,verify,STANDARD,loop,346,350,,dist,0.10870250325881144,2.074023,MAYBE,False,False,False
burkardt/md,verify,STANDARD,function,341,354,dist,dist,0.2718084861331683,5.186054,YES,False,False,False
burkardt/md,verify,STANDARD,function,475,491,r8_uniform_01,r8_uniform_01,1.4832433595116176e-05,0.000283,MAYBE,True,False,False
npb/is,agent,default,loop,648,651,,npb_main,0.1423835609127272,0.538898,YES,False,False,True
npb/is,agent,default,function,566,708,npb_main,npb_main,0.9999936589011986,3.784809,YES,False,False,False
npb/is,agent,default,loop,777,783,,create_seq,0.8263894338270672,3.127746,YES,False,False,False
npb/is,agent,default,function,752,784,create_seq,create_seq,0.8263899622519673,3.127748,YES,False,False,False
npb/is,agent,default,loop,719,721,,alloc_key_buff,1.84948715042381e-06,7e-06,MAYBE,False,False,False
npb/is,agent,default,loop,723,724,,alloc_key_buff,0.006410586675818986,0.024263,MAYBE,False,False,False
npb/is,agent,default,function,710,733,alloc_key_buff,alloc_key_buff,0.0064161351372702576,0.024284,MAYBE,False,False,False
npb/is,agent,default,function,1525,1531,timer_stop,timer_stop,2.642124500605443e-07,1e-06,MAYBE,True,False,False
npb/is,agent,default,loop,899,900,,rank,7.926373501816329e-07,3e-06,MAYBE,False,False,False
npb/is,agent,default,loop,920,921,,rank,5.5484614512714295e-06,2.1e-05,MAYBE,False,False,False
npb/is,agent,default,loop,924,925,,rank,0.04112361100212348,0.155646,MAYBE,False,False,False
npb/is,agent,default,loop,930,931,,rank,2.642124500605443e-07,1e-06,MAYBE,False,False,False
npb/is,agent,default,loop,933,939,,rank,0.00037623852888621503,0.001424,MAYBE,False,False,False
npb/is,agent,default,loop,935,936,,rank,9.062487037076669e-05,0.000343,MAYBE,False,False,False
npb/is,agent,default,loop,937,938,,rank,9.538069447185648e-05,0.000361,MAYBE,False,False,False
npb/is,agent,default,loop,942,945,,rank,0.06738764960039188,0.255051,MAYBE,False,False,False
npb/is,agent,default,loop,958,977,,rank,0.04784623258146396,0.18109,MAYBE,False,False,False
npb/is,agent,default,loop,962,963,,rank,0.002979523799332758,0.011277,MAYBE,False,False,False
npb/is,agent,default,loop,969,970,,rank,0.04164199582914226,0.157608,MAYBE,False,False,False
npb/is,agent,default,loop,975,976,,rank,0.0029494035800258557,0.011163,MAYBE,False,False,False
npb/is,agent,default,loop,1002,1113,,rank,2.113699600484354e-06,8e-06,MAYBE,False,False,False
npb/is,agent,default,function,884,1120,rank,rank,0.15674562127311825,0.593256,YES,False,False,False
npb/is,agent,default,function,61,61,pb_timer_start,pb_timer_start,2.642124500605443e-07,1e-06,MAYBE,True,False,False
npb/is,agent,default,function,63,68,pb_timer_stop,pb_timer_stop,1.4267472303269391e-05,5.4e-05,MAYBE,True,False,False
npb/is,agent,default,loop,846,852,,full_verify,0.006459730191530247,0.024449,MAYBE,False,False,False
npb/is,agent,default,loop,848,851,,full_verify,0.00645101118067825,0.024416,MAYBE,False,False,False
npb/is,agent,default,loop,872,874,,full_verify,0.003950504553305258,0.014952,MAYBE,False,False,False
npb/is,agent,default,function,833,879,full_verify,full_verify,0.010410234744835505,0.039401,MAYBE,False,False,False
npb/is,agent,default,function,1192,1271,c_print_results,c_print_results,2.642124500605443e-06,1e-05,MAYBE,True,False,False
npb/is,agent,default,function,738,746,alloc_mem,alloc_mem,5.5484614512714295e-06,2.1e-05,MAYBE,False,False,False
npb/is,agent,default,function,1352,1382,randlc,randlc,0.5441241396912361,2.059419,YES,True,False,False
npb/is,agent,default,loop,1616,1616,,main,2.642124500605443e-07,1e-06,MAYBE,False,True,False
npb/is,agent,default,function,1604,1620,main,main,1.0,3.784833,YES,False,False,False
npb/is,agent,default,function,27,31,pb_emit,pb_emit,2.642124500605443e-07,1e-06,MAYBE,True,False,False
npb/is,agent,default,function,33,37,pb_report,pb_report,2.642124500605443e-07,1e-06,MAYBE,True,False,False
npb/lu,agent,default,function,578,734,npb_main,npb_main,0.9999998392480977,155.51913,YES,False,False,False
npb/lu,agent,default,function,2365,2443,read_input,read_input,5.144060871472713e-08,8e-06,MAYBE,False,False,False
npb/lu,agent,default,loop,2847,2856,,setbv,2.3244725062967324e-05,0.003615,MAYBE,False,False,False
npb/lu,agent,default,loop,2848,2855,,setbv,2.3212574682520617e-05,0.00361,MAYBE,False,False,False
npb/lu,agent,default,loop,2851,2854,,setbv,2.9835553054541736e-06,0.000464,MAYBE,False,False,False
npb/lu,agent,default,loop,2862,2871,,setbv,2.4299257541619228e-05,0.003779,MAYBE,False,False,False
npb/lu,agent,default,loop,2863,2870,,setbv,2.4247816932904503e-05,0.003771,MAYBE,False,False,False
npb/lu,agent,default,loop,2866,2869,,setbv,3.9737870232126705e-06,0.000618,MAYBE,False,False,False
npb/lu,agent,default,loop,2877,2886,,setbv,4.740895100671039e-05,0.007373,MAYBE,False,False,False
npb/lu,agent,default,loop,2878,2885,,setbv,4.740252093062105e-05,0.007372,MAYBE,False,False,False
npb/lu,agent,default,loop,2881,2884,,setbv,2.7141351173107903e-05,0.004221,MAYBE,False,False,False
npb/lu,agent,default,function,2834,2887,setbv,setbv,9.495936368738629e-05,0.014768,MAYBE,False,False,False
npb/lu,agent,default,loop,3044,3069,,setiv,0.0038524900678633444,0.599136,MAYBE,False,False,False
npb/lu,agent,default,loop,3046,3068,,setiv,0.0038524386272546294,0.599128,MAYBE,False,False,False
npb/lu,agent,default,loop,3048,3067,,setiv,0.003850663926253972,0.598852,MAYBE,False,False,False
npb/lu,agent,default,loop,3056,3066,,setiv,0.00021272620726366472,0.033083,MAYBE,False,False,False
npb/lu,agent,default,function,3033,3070,setiv,setiv,0.0038524900678633444,0.599136,MAYBE,False,False,False
npb/lu,agent,default,loop,1140,1148,,erhs,0.00013602182959391722,0.021154,MAYBE,False,False,False
npb/lu,agent,default,loop,1141,1147,,erhs,0.00013600896944173854,0.021152,MAYBE,False,False,False
npb/lu,agent,default,loop,1142,1146,,erhs,0.0001351666294740349,0.021021,MAYBE,False,False,False
npb/lu,agent,default,loop,1143,1145,,erhs,8.473554270533427e-05,0.013178,MAYBE,False,False,False
npb/lu,agent,default,loop,1149,1172,,erhs,0.00021228896208958954,0.033015,MAYBE,False,False,False
npb/lu,agent,default,loop,1151,1171,,erhs,0.0002122696718613215,0.033012,MAYBE,False,False,False
npb/lu,agent,default,loop,1153,1170,,erhs,0.00021135660105663513,0.03287,MAYBE,False,False,False
npb/lu,agent,default,loop,1155,1169,,erhs,0.00015986455173319324,0.024862,MAYBE,False,False,False
npb/lu,agent,default,loop,1178,1283,,erhs,0.000363556502091334,0.05654,MAYBE,False,False,False
npb/lu,agent,default,loop,1179,1282,,erhs,0.0003635243517108873,0.056535,MAYBE,False,False,False
npb/lu,agent,default,loop,1180,1191,,erhs,3.171956534871862e-05,0.004933,MAYBE,False,False,False
npb/lu,agent,default,loop,1192,1197,,erhs,0.00011835198050040844,0.018406,MAYBE,False,False,False
npb/lu,agent,default,loop,1193,1196,,erhs,7.242194699424646e-05,0.011263,MAYBE,False,False,False
npb/lu,agent,default,loop,1198,1218,,erhs,2.8388785934440033e-05,0.004415,MAYBE,False,False,False
npb/lu,agent,default,loop,1219,1244,,erhs,3.96414190907866e-05,0.006165,MAYBE,False,False,False
npb/lu,agent,default,loop,1250,1260,,erhs,2.0383341203210625e-06,0.000317,MAYBE,False,False,False
npb/lu,agent,default,loop,1261,1270,,erhs,0.0001361890115722401,0.02118,MAYBE,False,False,False
npb/lu,agent,default,loop,1262,1269,,erhs,9.270240698002762e-05,0.014417,MAYBE,False,False,False
npb/lu,agent,default,loop,1271,1281,,erhs,2.256956707358653e-06,0.000351,MAYBE,False,False,False
npb/lu,agent,default,loop,1289,1394,,erhs,0.00037500203753036075,0.05832,MAYBE,False,False,False
npb/lu,agent,default,loop,1290,1393,,erhs,0.00037499560745427144,0.058319,MAYBE,False,False,False
npb/lu,agent,default,loop,1291,1302,,erhs,3.0484990739565167e-05,0.004741,MAYBE,False,False,False
npb/lu,agent,default,loop,1303,1308,,erhs,0.0001228916142194831,0.019112,MAYBE,False,False,False
npb/lu,agent,default,loop,1304,1307,,erhs,7.509042857132292e-05,0.011678,MAYBE,False,False,False
npb/lu,agent,default,loop,1309,1329,,erhs,3.0311378685152963e-05,0.004714,MAYBE,False,False,False
npb/lu,agent,default,loop,1330,1355,,erhs,4.128751856965786e-05,0.006421,MAYBE,False,False,False
npb/lu,agent,default,loop,1361,1371,,erhs,1.9740333594276534e-06,0.000307,MAYBE,False,False,False
npb/lu,agent,default,loop,1372,1381,,erhs,0.00014058075354125992,0.021863,MAYBE,False,False,False
npb/lu,agent,default,loop,1373,1380,,erhs,9.704270834033273e-05,0.015092,MAYBE,False,False,False
npb/lu,agent,default,loop,1382,1392,,erhs,2.533449979200311e-06,0.000394,MAYBE,False,False,False
npb/lu,agent,default,loop,1400,1505,,erhs,0.00037008302932201503,0.057555,MAYBE,False,False,False
npb/lu,agent,default,loop,1401,1504,,erhs,0.00037007659924592567,0.057554,MAYBE,False,False,False
npb/lu,agent,default,loop,1402,1413,,erhs,3.155238337039575e-05,0.004907,MAYBE,False,False,False
npb/lu,agent,default,loop,1414,1419,,erhs,0.00011849344217437394,0.018428,MAYBE,False,False,False
npb/lu,agent,default,loop,1415,1418,,erhs,7.243480714642514e-05,0.011265,MAYBE,False,False,False
npb/lu,agent,default,loop,1420,1440,,erhs,3.204106915318566e-05,0.004983,MAYBE,False,False,False
npb/lu,agent,default,loop,1441,1466,,erhs,4.103674560217357e-05,0.006382,MAYBE,False,False,False
npb/lu,agent,default,loop,1472,1482,,erhs,2.128355185571835e-06,0.000331,MAYBE,False,False,False
npb/lu,agent,default,loop,1483,1492,,erhs,0.000137545757627091,0.021391,MAYBE,False,False,False
npb/lu,agent,default,loop,1484,1491,,erhs,9.390483120873438e-05,0.014604,MAYBE,False,False,False
npb/lu,agent,default,loop,1493,1503,,erhs,2.1926559464652437e-06,0.000341,MAYBE,False,False,False
npb/lu,agent,default,function,1123,1506,erhs,erhs,0.0014569523606272165,0.226584,MAYBE,False,False,False
npb/lu,agent,default,loop,3100,3111,,ssor,3.3892931066915833e-05,0.005271,MAYBE,False,False,False
npb/lu,agent,default,loop,3101,3110,,ssor,3.387364083864782e-05,0.005268,MAYBE,False,False,False
npb/lu,agent,default,loop,3102,3109,,ssor,3.233685265329534e-05,0.005029,MAYBE,False,False,False
npb/lu,agent,default,loop,3103,3108,,ssor,2.2749609204088073e-05,0.003538,MAYBE,False,False,False
npb/lu,agent,default,loop,3112,3112,,ssor,1.2860152178681782e-08,2e-06,MAYBE,False,False,False
npb/lu,agent,default,loop,3133,3133,,ssor,1.2860152178681782e-08,2e-06,MAYBE,False,False,False
npb/lu,agent,default,loop,3141,3299,,ssor,0.9914392731879232,154.187798,YES,False,False,True
npb/lu,agent,default,loop,3151,3159,,ssor,0.027758895680728205,4.31704,MAYBE,False,False,True
npb/lu,agent,default,loop,3152,3158,,ssor,0.02775568064268353,4.31654,MAYBE,False,False,True
npb/lu,agent,default,loop,3153,3157,,ssor,0.02756115798082879,4.286288,MAYBE,False,False,True
npb/lu,agent,default,loop,3154,3156,,ssor,0.01567412708743177,2.437627,MAYBE,False,False,True
npb/lu,agent,default,loop,3161,3193,,ssor,0.3123090335721024,48.570037,YES,False,False,True
npb/lu,agent,default,loop,3194,3227,,ssor,0.2992362644974505,46.536971,YES,False,False,True
npb/lu,agent,default,loop,3234,3242,,ssor,0.031088350499332378,4.834834,MAYBE,False,False,True
npb/lu,agent,default,loop,3235,3241,,ssor,0.03108542481471173,4.834379,MAYBE,False,False,True
npb/lu,agent,default,loop,3236,3240,,ssor,0.030893062658423006,4.804463,MAYBE,False,False,True
npb/lu,agent,default,loop,3237,3239,,ssor,0.01881554719095535,2.926178,MAYBE,False,False,True
npb/lu,agent,default,function,3078,3303,ssor,ssor,0.994207961070776,154.618382,YES,False,False,False
npb/lu,agent,default,loop,1523,1533,,error,0.00038179219788070476,0.059376,MAYBE,False,False,False
npb/lu,agent,default,loop,1524,1532,,error,0.0003817857678046154,0.059375,MAYBE,False,False,False
npb/lu,agent,default,loop,1525,1531,,error,0.0003809948684456265,0.059252,MAYBE,False,False,False
npb/lu,agent,default,loop,1527,1530,,error,6.566393702434918e-05,0.010212,MAYBE,False,False,False
npb/lu,agent,default,function,1513,1537,error,error,0.00038179219788070476,0.059376,MAYBE,False,False,False
npb/lu,agent,default,loop,2232,2237,,pintgr,8.359098916143159e-08,1.3e-05,MAYBE,False,False,False
npb/lu,agent,default,loop,2233,2236,,pintgr,6.430076089340892e-08,1e-05,MAYBE,False,False,False
npb/lu,agent,default,loop,2238,2253,,pintgr,4.629654784325442e-07,7.2e-05,MAYBE,False,False,False
npb/lu,agent,default,loop,2239,2252,,pintgr,4.501053262538624e-07,7e-05,MAYBE,False,False,False
npb/lu,agent,default,loop,2255,2266,,pintgr,1.4146167396549962e-07,2.2e-05,MAYBE,False,False,False
npb/lu,agent,default,loop,2256,2265,,pintgr,1.350315978761587e-07,2.1e-05,MAYBE,False,False,False
npb/lu,agent,default,loop,2273,2278,,pintgr,7.71609130720907e-08,1.2e-05,MAYBE,False,False,False
npb/lu,agent,default,loop,2274,2277,,pintgr,6.430076089340892e-08,1e-05,MAYBE,False,False,False
npb/lu,agent,default,loop,2280,2288,,pintgr,3.5365418491374905e-07,5.5e-05,MAYBE,False,False,False
npb/lu,agent,default,loop,2281,2287,,pintgr,3.2793388055638544e-07,5.1e-05,MAYBE,False,False,False
npb/lu,agent,default,loop,2291,2299,,pintgr,3.2793388055638544e-07,5.1e-05,MAYBE,False,False,False
npb/lu,agent,default,loop,2292,2298,,pintgr,3.150737283777037e-07,4.9e-05,MAYBE,False,False,False
npb/lu,agent,default,loop,2302,2313,,pintgr,1.4146167396549962e-07,2.2e-05,MAYBE,False,False,False
npb/lu,agent,default,loop,2303,2312,,pintgr,1.0931129351879516e-07,1.7e-05,MAYBE,False,False,False
npb/lu,agent,default,loop,2320,2325,,pintgr,7.073083698274981e-08,1.1e-05,MAYBE,False,False,False
npb/lu,agent,default,loop,2321,2324,,pintgr,3.215038044670446e-08,5e-06,MAYBE,False,False,False
npb/lu,agent,default,loop,2327,2335,,pintgr,1.5625084897098365e-06,0.000243,MAYBE,False,False,False
npb/lu,agent,default,loop,2328,2334,,pintgr,1.5496483375311547e-06,0.000241,MAYBE,False,False,False
npb/lu,agent,default,loop,2338,2346,,pintgr,1.3953265113869733e-06,0.000217,MAYBE,False,False,False
npb/lu,agent,default,loop,2339,2345,,pintgr,1.3824663592082917e-06,0.000215,MAYBE,False,False,False
npb/lu,agent,default,loop,2349,2360,,pintgr,1.350315978761587e-07,2.1e-05,MAYBE,False,False,False
npb/lu,agent,default,loop,2350,2359,,pintgr,1.2860152178681784e-07,2e-05,MAYBE,False,False,False
npb/lu,agent,default,function,2204,2363,pintgr,pintgr,4.751826230022919e-06,0.000739,MAYBE,False,False,False
npb/lu,agent,default,loop,3599,3608,,verify,4.436752501645215e-07,6.9e-05,MAYBE,False,False,False
npb/lu,agent,default,loop,3614,3623,,verify,1.9290228268022674e-08,3e-06,MAYBE,False,False,False
npb/lu,agent,default,function,3314,3645,verify,verify,5.208361632366122e-07,8.1e-05,MAYBE,False,False,False
npb/lu,agent,default,function,3717,3796,c_print_results,c_print_results,3.858045653604535e-08,6e-06,MAYBE,True,False,False
npb/lu,agent,default,loop,769,780,,blts,0.04977233190342373,7.740551,YES,False,False,False
npb/lu,agent,default,loop,770,779,,blts,0.04957559086531816,7.709954,YES,False,False,False
npb/lu,agent,default,loop,771,778,,blts,0.03769153066707441,5.861755,MAYBE,False,False,False
npb/lu,agent,default,loop,781,899,,blts,0.1353955530429676,21.056602,YES,False,False,False
npb/lu,agent,default,loop,782,898,,blts,0.13520005943962335,21.026199,YES,False,False,False
npb/lu,agent,default,loop,783,795,,blts,0.05535678225617931,8.60904,YES,False,False,False
npb/lu,agent,default,loop,803,809,,blts,0.02064222892671967,3.210262,MAYBE,False,False,False
npb/lu,agent,default,function,760,900,blts,blts,0.18518021140225457,28.79907,YES,False,False,False
npb/lu,agent,default,loop,937,948,,buts,0.04276167781390016,6.65026,MAYBE,False,False,False
npb/lu,agent,default,loop,938,947,,buts,0.04256623565116464,6.619865,MAYBE,False,False,False
npb/lu,agent,default,loop,939,946,,buts,0.030751620274685778,4.782466,MAYBE,False,False,False
npb/lu,agent,default,loop,949,1069,,buts,0.136484525009154,21.225958,YES,False,False,False
npb/lu,agent,default,loop,950,1068,,buts,0.136291423394115,21.195927,YES,False,False,False
npb/lu,agent,default,loop,951,963,,buts,0.0488121029206981,7.591217,YES,False,False,False
npb/lu,agent,default,loop,969,975,,buts,0.021388561428333376,3.326331,MAYBE,False,False,False
npb/lu,agent,default,function,927,1070,buts,buts,0.1792586000097544,27.878146,YES,False,False,False
npb/lu,agent,default,loop,1555,1569,,exact,0.0017365320689917585,0.270064,MAYBE,False,False,False
npb/lu,agent,default,function,1544,1570,exact,exact,0.003210247637983887,0.499255,MAYBE,False,False,False
npb/lu,agent,default,loop,1591,1856,,jacld,0.12709172706088842,19.765198,YES,False,False,False
npb/lu,agent,default,loop,1592,1855,,jacld,0.12688448570852895,19.732968,YES,False,False,False
npb/lu,agent,default,function,1577,1857,jacld,jacld,0.12709898018671717,19.766326,YES,False,False,False
npb/lu,agent,default,loop,1878,2163,,jacu,0.11993992637112771,18.652956,YES,False,False,False
npb/lu,agent,default,loop,1879,2162,,jacu,0.11972858263022325,18.620088,YES,False,False,False
npb/lu,agent,default,function,1864,2164,jacu,jacu,0.11994780321433716,18.654181,YES,False,False,False
npb/lu,agent,default,loop,2189,2189,,l2norm,6.430076089340891e-09,1e-06,MAYBE,False,False,False
npb/lu,agent,default,loop,2190,2198,,l2norm,0.00046888757851082716,0.072921,MAYBE,False,False,False
npb/lu,agent,default,loop,2191,2197,,l2norm,0.0004688682882825591,0.072918,MAYBE,False,False,False
npb/lu,agent,default,loop,2192,2196,,l2norm,0.00046567897054224604,0.072422,MAYBE,False,False,False
npb/lu,agent,default,loop,2193,2195,,l2norm,0.00027806864048354686,0.043245,MAYBE,False,False,False
npb/lu,agent,default,function,2182,2202,l2norm,l2norm,0.00046889400858691647,0.072922,MAYBE,False,False,False
npb/lu,agent,default,loop,2467,2481,,rhs,0.035384400075990634,5.502952,MAYBE,False,False,False
npb/lu,agent,default,loop,2468,2480,,rhs,0.03538002762424988,5.502272,MAYBE,False,False,False
npb/lu,agent,default,loop,2469,2479,,rhs,0.03517240046732507,5.469982,MAYBE,False,False,False
npb/lu,agent,default,loop,2470,2472,,rhs,0.01762719839880817,2.741367,MAYBE,False,False,False
npb/lu,agent,default,loop,2488,2590,,rhs,0.09303599932754264,14.46888,YES,False,False,False
npb/lu,agent,default,loop,2489,2589,,rhs,0.0930319162292259,14.468245,YES,False,False,False
npb/lu,agent,default,loop,2490,2498,,rhs,0.005062360324681548,0.787294,MAYBE,False,False,False
npb/lu,agent,default,loop,2499,2504,,rhs,0.030802064221606654,4.790311,MAYBE,False,False,False
npb/lu,agent,default,loop,2500,2503,,rhs,0.018743491758298196,2.914972,MAYBE,False,False,False
npb/lu,agent,default,loop,2505,2525,,rhs,0.007651134678554547,1.189898,MAYBE,False,False,False
npb/lu,agent,default,loop,2526,2551,,rhs,0.011027818406034933,1.715037,MAYBE,False,False,False
npb/lu,agent,default,loop,2557,2567,,rhs,0.0005753953588546696,0.089485,MAYBE,False,False,False
npb/lu,agent,default,loop,2568,2577,,rhs,0.035914141894610986,5.585337,MAYBE,False,False,False
npb/lu,agent,default,loop,2569,2576,,rhs,0.02446178414485341,3.804276,MAYBE,False,False,False
npb/lu,agent,default,loop,2578,2588,,rhs,0.0006750679683155428,0.104986,MAYBE,False,False,False
npb/lu,agent,default,loop,2598,2706,,rhs,0.10011518516802641,15.569829,YES,False,False,False
npb/lu,agent,default,loop,2599,2662,,rhs,0.062008953173646034,9.64358,YES,False,False,False
npb/lu,agent,default,loop,2600,2608,,rhs,0.008966432462933585,1.394452,MAYBE,False,False,False
npb/lu,agent,default,loop,2609,2614,,rhs,0.033785169421734575,5.254241,MAYBE,False,False,False
npb/lu,agent,default,loop,2610,2613,,rhs,0.02177718879709705,3.38677,MAYBE,False,False,False
npb/lu,agent,default,loop,2615,2635,,rhs,0.007244278044077593,1.126624,MAYBE,False,False,False
npb/lu,agent,default,loop,2636,2661,,rhs,0.011240383861396365,1.748095,MAYBE,False,False,False
npb/lu,agent,default,loop,2668,2680,,rhs,0.0007231777976159914,0.112468,MAYBE,False,False,False
npb/lu,agent,default,loop,2669,2679,,rhs,0.0005264496196626068,0.081873,MAYBE,False,False,False
npb/lu,agent,default,loop,2681,2692,,rhs,0.03658241970257618,5.689267,MAYBE,False,False,False
npb/lu,agent,default,loop,2682,2691,,rhs,0.03640091151472627,5.661039,MAYBE,False,False,False
npb/lu,agent,default,loop,2683,2690,,rhs,0.02512817151044834,3.907912,MAYBE,False,False,False
npb/lu,agent,default,loop,2693,2705,,rhs,0.0007871441945527545,0.122416,MAYBE,False,False,False
npb/lu,agent,default,loop,2694,2704,,rhs,0.0005937532260897379,0.09234,MAYBE,False,False,False
npb/lu,agent,default,loop,2714,2824,,rhs,0.09477243494539306,14.738929,YES,False,False,False
npb/lu,agent,default,loop,2715,2823,,rhs,0.0947691491765114,14.738418,YES,False,False,False
npb/lu,agent,default,loop,2716,2723,,rhs,0.009632864839061141,1.498095,MAYBE,False,False,False
npb/lu,agent,default,loop,2724,2732,,rhs,0.006425362843567405,0.999267,MAYBE,False,False,False
npb/lu,agent,default,loop,2733,2738,,rhs,0.03196621020735356,4.971358,MAYBE,False,False,False
npb/lu,agent,default,loop,2734,2737,,rhs,0.01990350963519574,3.095377,MAYBE,False,False,False
npb/lu,agent,default,loop,2739,2759,,rhs,0.005513398011968364,0.857439,MAYBE,False,False,False
npb/lu,agent,default,loop,2760,2785,,rhs,0.006902860293961859,1.073527,MAYBE,False,False,False
npb/lu,agent,default,loop,2791,2801,,rhs,0.0003945430387658677,0.061359,MAYBE,False,False,False
npb/lu,agent,default,loop,2802,2811,,rhs,0.031953414355935766,4.969368,MAYBE,False,False,False
npb/lu,agent,default,loop,2803,2810,,rhs,0.020704414192579686,3.219933,MAYBE,False,False,False
npb/lu,agent,default,loop,2812,2822,,rhs,0.0004843647716578707,0.075328,MAYBE,False,False,False
